Label,Dst Port,Protocol,time,act_time,COUNT_instances,Timestamp_analog,Timestamp,time,act_time,COUNT_instances,Timestamp_analog,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
DoS attacks-Slowloris,80,6,12,1,184,12,15/02/2018 11:00:12,12,1,184,12,15/02/2018 11:00:12,3863707,8,2,920,0,230,0,115,122.9401713,0,0,0,0,238.1132938,2.588187976,429300.7778,680073.1042,2016118,4,3863702,551957.4286,733267.6663,2016118,520,831937,831937,0,831937,831937,0,0,0,0,280,72,2.070550381,0.517637595,0,230,83.63636364,116.0407452,13465.45455,0,0,0,1,0,0,0,0,0,92,115,0,0,0,0,0,0,0,8,920,2,0,26883,219,4,32,0,0,0,0,0,0,0,0,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.00543478,2,184,12,15/02/2018 11:00:12,12.00543478,2,184,12,15/02/2018 11:00:12,29126378,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.171287209,0.240331977,4854396.333,11888516.12,29121728,3,29126368,9708789.333,16812101.63,29121732,357,29126375,14563187.5,20588899.57,29121738,4637,0,0,0,0,136,104,0.137332558,0.102999419,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,4640,0,4640,4640,29121728,0,29121728,29121728,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.01086957,3,184,12,15/02/2018 11:00:12,12.01086957,3,184,12,15/02/2018 11:00:12,29121757,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.172583818,0.240370112,4853626.167,11888137.89,29120186,2,29121755,9707251.667,16812096.9,29120189,375,29121754,14560877,20589975.08,29120188,1566,0,0,0,0,136,104,0.13735435,0.103015762,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,1569,0,1569,1569,29120186,0,29120186,29120186,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.01630435,4,184,12,15/02/2018 11:00:12,12.01630435,4,184,12,15/02/2018 11:00:12,29120221,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.173014896,0.240382791,4853370.167,11886956.78,29117519,3,29120218,9706739.333,16810230.95,29117522,18,29120218,14560109,20587290.9,29117522,2696,0,0,0,0,136,104,0.137361595,0.103021196,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,2699,0,2699,2699,29117519,0,29117519,29117519,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.02173913,5,184,12,15/02/2018 11:00:12,12.02173913,5,184,12,15/02/2018 11:00:12,29116920,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.173941475,0.240410043,4852820,11886739.3,29116525,2,29116918,9705639.333,16810322.7,29116528,62,29116917,14558458.5,20588217.91,29116527,390,0,0,0,0,136,104,0.137377168,0.103032876,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,393,0,393,393,29116525,0,29116525,29116525,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.02717391,6,184,12,15/02/2018 11:00:12,12.02717391,6,184,12,15/02/2018 11:00:12,29116484,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.174063874,0.240413643,4852747.333,11886540.24,29116046,2,29116482,9705494,16810035.46,29116051,146,29116481,14558240.5,20587848.8,29116048,433,0,0,0,0,136,104,0.137379225,0.103034419,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,436,0,436,436,29116046,0,29116046,29116046,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.0326087,7,184,12,15/02/2018 11:00:12,12.0326087,7,184,12,15/02/2018 11:00:12,29117573,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.173758163,0.240404652,4852928.833,11886922.61,29117008,3,29117570,9705856.667,16810553.64,29117012,147,29117570,14558785,20588440.65,29117011,559,0,0,0,0,136,104,0.137374087,0.103030565,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,562,0,562,562,29117008,0,29117008,29117008,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.03804348,8,184,12,15/02/2018 11:00:12,12.03804348,8,184,12,15/02/2018 11:00:12,29116028,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.174191892,0.240417409,4852671.333,11886358.49,29115599,3,29116025,9705341.667,16809779.41,29115603,96,29116025,14558012.5,20587540.51,29115602,423,0,0,0,0,136,104,0.137381376,0.103036032,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,426,0,426,426,29115599,0,29115599,29115599,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.04347826,9,184,12,15/02/2018 11:00:12,12.04347826,9,184,12,15/02/2018 11:00:12,29115114,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.174448501,0.240424956,4852519,11885969.67,29114653,2,29115112,9705037.333,16809223.71,29114657,150,29115111,14557555.5,20586847.54,29114655,456,0,0,0,0,136,104,0.137385689,0.103039267,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,459,0,459,459,29114653,0,29114653,29114653,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.04891304,10,184,12,15/02/2018 11:00:12,12.04891304,10,184,12,15/02/2018 11:00:12,29114580,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.174598431,0.240429366,4852430,11885788.9,29114195,2,29114578,9704859.333,16808981.22,29114199,69,29114577,14557288.5,20586577.43,29114197,380,0,0,0,0,136,104,0.137388209,0.103041157,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,383,0,383,383,29114195,0,29114195,29114195,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.05434783,11,184,12,15/02/2018 11:00:12,12.05434783,11,184,12,15/02/2018 11:00:12,29115546,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.174327213,0.240421389,4852591,11886177.88,29115150,2,29115544,9705181.333,16809530.28,29115155,100,29115536,14557768,20587249.89,29115152,384,0,0,0,0,136,104,0.137383651,0.103037738,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,394,0,394,394,29115150,0,29115150,29115150,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.05978261,12,184,12,15/02/2018 11:00:12,12.05978261,12,184,12,15/02/2018 11:00:12,29113013,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.175038427,0.240442307,4852168.833,11885126.15,29112581,2,29113011,9704337,16808036.68,29112586,33,29113010,14556505,20585402.92,29112583,427,0,0,0,0,136,104,0.137395604,0.103046703,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,430,0,430,430,29112581,0,29112581,29112581,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.06521739,13,184,12,15/02/2018 11:00:12,12.06521739,13,184,12,15/02/2018 11:00:12,29114095,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.174734609,0.240433371,4852349.167,11885568.37,29113664,2,29114093,9704697.667,16808661.37,29113668,2,29114092,14557046,20586169.43,29113666,426,0,0,0,0,136,104,0.137390498,0.103042873,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,429,0,429,429,29113664,0,29113664,29113664,DoS attacks-Slowloris
DoS attacks-Slowloris,80,6,12.07065217,14,184,12,15/02/2018 11:00:12,12.07065217,14,184,12,15/02/2018 11:00:12,29112483,4,3,238,0,230,0,59.5,113.7292106,0,0,0,0,8.175187256,0.240446684,4852080.5,11884913.7,29112059,2,29112481,9704160.333,16807736.74,29112063,26,29112480,14556240,20585039.47,29112061,419,0,0,0,0,136,104,0.137398105,0.103048579,0,230,29.75,80.96163112,6554.785714,0,0,0,1,0,0,0,0,0,34,59.5,0,0,0,0,0,0,0,4,238,3,0,26883,219,2,32,422,0,422,422,29112059,0,29112059,29112059,DoS attacks-Slowloris
